scientific_name,body_mass,body_length,tail_length,Hind_foot_length_mm,Ear_length_mm,Maturity_d.x,Gestation_length_d,Litter_size_n,Litters_per_year_n,Generation_length_d.x,Diet,Activity_cycle,Habitat_.breadth,Distribution.type
Hylomys suillus,57.8,135,19,24,13.5,332,33,2.4,2,946,食无脊椎动物 invertivores,昼行性 diurnal,3,Wa
Neohylomys hainanensis,61,139.5,39.5,26.5,19.5,319,37,3.3,1.8,887,食无脊椎动物 invertivores,夜行性 nocturnal,2,J
Neotetracus sinensis,49.99,108,67,28.5,16,319,36,4.3,2,846,食无脊椎动物 invertivores,夜行性 nocturnal,1,Sd
Erinaceus amurensis,800,222.5,29.5,44,21,259,36,3~8,1.6,"1,367","食无脊椎动物 invertivores, 食肉 carnivores",夜行性 nocturnal,4,O
Hemiechinus auritus,390,200,23,35.5,35.5,213,38,4,1,940,杂食 omnivores,夜行性 nocturnal,3,D
Mesechinus dauuricus,500,212.5,14.5,,27,283,38,3~7,1.6,"1,096",杂食 omnivores,夜行性 nocturnal,2,Dn
Mesechinus hughi,431,190,18,38.5,24.5,295,39,3.4,1.5,998,杂食 omnivores,夜行性 nocturnal,2,O(Sn)
Mesechinus miodon,490,170,35.5,37.5,29.5,,,,,,杂食 omnivores,,4,
Mesechinus wangi,393.5,208.5,16,46.5,30,,,,,,"食虫 insectivores, 食果实 frugivores, 食种子 granivores",,2,
Uropsilus aequodonenia,11,75.5,71,15.5,,,,,,,食虫 insectivores,,2,
Uropsilus andersoni,16,74,65.5,15.75,,338,40,3.4,1.1,766,食虫 insectivores,全天活动 cathemeral,1,Hc
Uropsilus atronates,7.4,66,63.5,12.75,,,,,,,食虫 insectivores,,2,
Uropsilus dabieshanensis,7.55,127.5,53.25,12.85,8.5,,,,,,,,2,
Uropsilus gracilis,8.75,69.5,64,14,9.5,334,40,3.4,1.1,703,食无脊椎动物 invertivores,全天活动 cathemeral,3,Sh
Uropsilus investigator,14.76,75,64.5,14.5,,337,41,3.4,1.1,770,食无脊椎动物 invertivores,全天活动 cathemeral,3,
Uropsilus nivatus,8.7,66,63.5,13.5,7.25,,,,,,食虫 insectivores,,3,
Uropsilus soricipes,16,73,59.5,15.5,,339,40,3.4,1.1,769,食虫 insectivores,全天活动 cathemeral,1,Hc
Alpiscaptulus medogensis,31.15,98,41,18,,,,,,,食虫 insectivores,全天活动 cathemeral,5,
Scaptonyx fusicaudus,12,81,35.5,17,0,348,38,3.5,1.1,807,食无脊椎动物 invertivores,全天活动 cathemeral,1,Hc
Scapanulus oweni,22.41,122,41,16.5,,345,41,3.3,1.3,917,食虫 insectivores,全天活动 cathemeral,1,Hc
Euroscaptor grandis,46.84,150,10,18,0,,37,3.7,1.1,710,食虫 insectivores,全天活动 cathemeral,2,
Euroscaptor kuznetsovi,59.5,126.5,15.5,15.5,,,,3,,,,,1,
Euroscaptor orlovi,37.05,117.5,16,15.5,,,,,,,,,1,
Euroscaptor longirostris,64.5,117.5,16,18.5,0,322,37,2~5,1,725,食虫 insectivores,全天活动 cathemeral,1,
Euroscaptor micrura,58,131.5,7,15.5,0,328,37,3.9,1.1,706,食虫 insectivores,全天活动 cathemeral,1,
Euroscaptor parvidens,54.5,142.5,8,14.75,,326,37,3.9,1,704,食虫 insectivores,全天活动 cathemeral,1,
Mogera kanoana,41.25,123.5,11,14.25,,,,,,,食虫 insectivores,,2,
Mogera insularis,57.25,127,11.5,16,,,,,,759.1857214,食虫 insectivores,Nocturnal,2,
Mogera latouchei,71.04,112,8.5,11.5,,324,39,3~5,1,740,食虫 insectivores,全天活动 cathemeral,1,Sc
Mogera robusta,72,195,21,23,0,321,40,2~10,1,758,食虫 insectivores,全天活动 cathemeral,1,Kb
Mogera uchidai,75.85,106,12.5,15.5,0,337,41,3.4,1.4,916,食虫 insectivores,全天活动 cathemeral,1,
Mogera wogura,120.4,151.5,20.25,19.25,,,40,3~6,1,774,食虫 insectivores,全天活动 cathemeral,4,Kf
Parascaptor leucura,41.55,120.5,12,14.5,,333,38,2~4,1.2,723,食虫 insectivores,全天活动 cathemeral,1,Wb
Scaptochirus moschatus,90.51,113,18.5,17,,322,38,3~8,1,739,食虫 insectivores,全天活动 cathemeral,2,Ba
Sorex asper,8.5,66,39.5,12,,317,21,5.9,2,413,"食虫 insectivores, 食腐 scavengers",全天活动 cathemeral,2,
Sorex bedfordiae,10.4,61,57,13,,271,21,5,2.1,398,"食虫 insectivores, 食腐 scavengers",全天活动 cathemeral,2,Hc
Sorex caecutiens,5.85,58.5,34,12,9.5,241,20,2~11,3,400,"食虫 insectivores, 食腐 scavengers",全天活动 cathemeral,3,Ue
Sorex cansulus,6.3,63,40.5,12,,239,20,2~9,2.5,396,"食虫 insectivores, 食腐 scavengers",全天活动 cathemeral,3,
Sorex cylindricauda,5.5,72,58.5,15.5,,294,20,5,2,402,"食虫 insectivores, 食腐 scavengers",全天活动 cathemeral,1,Hc
Sorex daphaenodon,8.1,62,32,11.5,,322,20,4~6,2,408,"食虫 insectivores, 食腐 scavengers",全天活动 cathemeral,2,
Sorex excelsus,7.5,66.5,47.5,14.5,,330,21,6.6,1.9,426,"食虫 insectivores, 食腐 scavengers",全天活动 cathemeral,3,
Sorex gracillimus,3.9,55.5,42.5,10.5,,328,24,3~8,1.5,439,"食虫 insectivores, 食腐 scavengers",夜行性 nocturnal,2,
Sorex isodon,12.23,74,44,14,,275,13~19,3~6,2.2,396,"食虫 insectivores, 食腐 scavengers",全天活动 cathemeral,2,
Sorex kozlovi,7.8,70.92,,,,320,21,6,2,414,"食虫 insectivores, 食腐 scavengers",全天活动 cathemeral,1,
Sorex minutissimus,2.15,47,27.5,9,,293,21,9,2.2,427,"食虫 insectivores, 食腐 scavengers",全天活动 cathemeral,2,
Sorex minutus,4.2,49,35.5,10.5,,353,24,5.9,1.5,417,"食虫 insectivores, 食腐 scavengers",全天活动 cathemeral,6,Ub
Sorex mirabilis,12.5,85.5,68.5,17,,340,22,4.8,1.9,418,"食虫 insectivores, 食腐 scavengers",全天活动 cathemeral,1,Ke
Sorex planiceps,4.2,66,42.5,12,,328,24,5.9,1.5,441,"食虫 insectivores, 食腐 scavengers",全天活动 cathemeral,3,
Sorex roboratus,8.2,72.5,37,13.75,,330,21,6.6,1.9,420,"食虫 insectivores, 食腐 scavengers",全天活动 cathemeral,1,
Sorex sinalis,8.2,74.5,58.5,15,,330,21,2~5,1~2,420,"食虫 insectivores, 食腐 scavengers",全天活动 cathemeral,2,
Sorex thibetanus,4.2,57.5,43,12.5,,328,24,5.9,1.5,452,"食虫 insectivores, 食腐 scavengers",全天活动 cathemeral,3,
Sorex tundrensis,7.5,72.5,29,,,348,17,6.7,1.9,439,"食虫 insectivores, 食腐 scavengers",全天活动 cathemeral,3,
Sorex unguiculatus,8,80.5,46,13,,278,28,3~7,1.3,392,"食虫 insectivores, 食腐 scavengers",全天活动 cathemeral,2,Mg
Blarinella griselda/Parablarinella griselda,12.5,65.5,36.5,11,6,261,24,3.8,2.1,468,"食无脊椎动物 invertivores, 食腐 scavengers",夜行性 nocturnal,1,
Blarinella quadraticauda,12.5,73,50,14.5,,261,23,4.1,2,456,"食虫 insectivores, 食腐 scavengers",夜行性 nocturnal,2,Hc
Blarinella wardi,12.5,64.5,37.5,11.5,,257,23,4,2,456,"食虫 insectivores, 食腐 scavengers",夜行性 nocturnal,1,
Pantherina griselda,12.5,67.5,38,,,257,23,4,2,456,"食虫 insectivores, 食腐 scavengers",夜行性 nocturnal,1,
Soriculus nigrescens,21.5,82,40,14.5,,262,22,3~8,2.1,453,"食虫 insectivores, 食腐 scavengers",夜行性 nocturnal,4,Ha
Chaetodipus baileyi/Episoriculus baileyi,28.77,72,68,13.75,8.5,107,27,3.7,2,688,"食虫 insectivores, 食腐 scavengers",夜行性 nocturnal,1,
Episoriculus caudatus,8.94,66,58.5,14,,261,22,4~6,2.1,417,"食虫 insectivores, 食腐 scavengers",夜行性 nocturnal,4,Hm
Episoriculus fumidus,6.95,62,44.5,12.75,,278,23,3.4,2.1,419,"食虫 insectivores, 食腐 scavengers",夜行性 nocturnal,2,J
Episoriculus leucops,9.35,67,70.5,15.5,,248,22,4.6,2.2,410,"食虫 insectivores, 食腐 scavengers",夜行性 nocturnal,1,Hm
Episoriculus macrurus,8.16,60,88.5,16,,264,21,4.7,2.1,413,"食虫 insectivores, 食腐 scavengers",夜行性 nocturnal,1,
Episoriculus umbrinus,,60.5,50,12,,,,,,,"食虫 insectivores, 食腐 scavengers",,1,
Episoriculus sacratus,,66,58.5,14.5,,,,,,,"食虫 insectivores, 食腐 scavengers",,1,
Chodsigoa caovansunga,6,66,67,15,9,292,22,4.3,2,429,"食虫 insectivores, 食腐 scavengers",夜行性 nocturnal,1,
Chodsigoa hoffmanni,,66.5,81,15.5,,,,,,,"食虫 insectivores, 食腐 scavengers",,1,
Chodsigoa furva,6.05,71.67,86,17.33,8,,,,,,"食虫 insectivores, 食腐 scavengers",,1,
Chodsigoa hypsibia,8.16,86,70,16.5,,281,22,4.4,2,460,"食虫 insectivores, 食腐 scavengers",夜行性 nocturnal,2,Hc
Chodsigoa lamula,8.16,64.5,54.5,13.5,,285,22,4.4,2,433,"食虫 insectivores, 食腐 scavengers",夜行性 nocturnal,1,
Chodsigoa parca,8.25,76,91,17.5,9,267,22,4.2,2.1,421,"食虫 insectivores, 食腐 scavengers",夜行性 nocturnal,1,
Chodsigoa parva,3.5,70.14,,,,287,22,4.7,1.9,427,"食虫 insectivores, 食腐 scavengers",全天活动 cathemeral,1,
Chodsigoa salenskii,5.49,78,110,22,,290,22,4.4,2,430,"食虫 insectivores, 食腐 scavengers",夜行性 nocturnal,1,
Chodsigoa smithii,18.76,84,100,17.5,,256,23,4.2,2.1,428,"食虫 insectivores, 食腐 scavengers",夜行性 nocturnal,1,
Chodsigoa sodalis,4.9,68,68.5,14,,286,23,3.4,2,432,"食虫 insectivores, 食腐 scavengers",夜行性 nocturnal,1,
Neomys fodiens,17,81.5,62,19,,320,21,6~10,1.8,577,"食无脊椎动物 invertivores, 食肉 carnivores, 食鱼 piscivores",全天活动 cathemeral,6,Ub
Anourosorex assamensis,20,101.38,,,,,27,2.8,2,554,食虫 insectivores,夜行性 nocturnal,4,
Anourosorex schmidi,20,101.38,,,,260,27,2.8,2,550,食虫 insectivores,夜行性 nocturnal,1,
Anourosorex squamipes,20,92,13.5,13.5,0,284,31,3~7,1.9,677,食虫 insectivores,夜行性 nocturnal,1,Sd
Anourosorex yamashinai,20,74,10,14.5,,267,27,2.8,1.9,578,食虫 insectivores,夜行性 nocturnal,3,J
Chimarrogale himalayica,39.5,123.5,95.5,23.5,0,131,25,3~8,3,433,"食虫 insectivores, 食鱼 piscivores",夜行性 nocturnal,2,Sv
Chimarrogale leander,,105,91,23.5,,,,,,,"食虫 insectivores, 食鱼 piscivores",夜行性 nocturnal,1,
Chimarrogale styani,32.86,102,73,21.5,,242,23,3.9,2.2,458,"食虫 insectivores, 食鱼 piscivores",夜行性 nocturnal,3,Hc
Nectogale elegans,38.82,102.5,102,26,,257,33,3.1,2.1,657,"食虫 insectivores, 食鱼 piscivores",夜行性 nocturnal,2,Hc
Suncus etruscus,2.5,48,25.5,7.5,5.25,297,28,4,3.4,591,"食虫 insectivores, 食肉 carnivores, 食腐 scavengers",夜行性 nocturnal,5,Wa
Suncus murinus,45.87,133,72.5,20.5,,32,30,1~7,9.8,364,"食虫 insectivores, 食肉 carnivores, 食腐 scavengers",夜行性 nocturnal,6,Wd
Crocidura anhuiensis,12.015,69.49,53.79,14.175,8.49,,,,,,"食虫 insectivores, 食花 nectarivores, 食果实 frugivores, 食种子 granivores",,3,
Crocidura attenuata,9,77.5,50.5,14.5,10,268,56,1,2.2,867,"食虫 insectivores, 食肉 carnivores, 食腐 scavengers",夜行性 nocturnal,3,Sd
Crocidura dongyangjiangensis,5.135,54.985,41.8,12.15,41.8,,,,,,"食虫 insectivores, 食肉 carnivores, 食腐 scavengers",夜行性 nocturnal,3,
Crocidura fuliginosa/C. dracula,14.27,92,75.5,17,10,268,56,1,2.2,867,"食虫 insectivores, 食肉 carnivores, 食腐 scavengers",夜行性 nocturnal,6,
Crocidura gmelini,5.2,62,33.5,12.5,,193,27,5~10,3,484,"食虫 insectivores, 食肉 carnivores, 食腐 scavengers",夜行性 nocturnal,2,
Crocidura indochinensis,5.47,66,48.5,12.5,10,,27,3.1,3.1,458,"食虫 insectivores, 食肉 carnivores, 食腐 scavengers",夜行性 nocturnal,1,
Crocidura lasiura,14.27,86,37.5,19,,268,56,8~11,2.2,867,"食无脊椎动物 invertivores, 食肉 carnivores, 食腐 scavengers",夜行性 nocturnal,1,O
Crocidura leucodon,8.5,65.5,36,13,,107,30,4.7,3~8,428,"食虫 insectivores, 食肉 carnivores, 食腐 scavengers",夜行性 nocturnal,3,
Crocidura rapax,10.6,63,42.5,12,,75,29,4,3.5,433,"食虫 insectivores, 食肉 carnivores, 食腐 scavengers",夜行性 nocturnal,1,
Crocidura shantungensis,7,58,39,11.5,7.5,210,27,5~10,3.5,444,"食虫 insectivores, 食肉 carnivores, 食腐 scavengers",夜行性 nocturnal,3,
Crocidura sibirica,73,69,34.5,11.5,,101,30,4.7,3.8,432,"食虫 insectivores, 食肉 carnivores, 食腐 scavengers",夜行性 nocturnal,4,
Crocidura suaveolens,7.95,63.5,32.5,,,69,24~32,4,4.2~5.5,370,"食虫 insectivores, 食肉 carnivores, 食腐 scavengers",夜行性 nocturnal,6,
Crocidura tadae,6.3,64.35,49.85,11.7,8.4,190,27,3.1,3.1,487,"食虫 insectivores, 食肉 carnivores, 食腐 scavengers",,2,J
Crocidura tanakae,14.5,78,54.5,13,9,267,56,1,2.2,859,"食虫 insectivores, 食肉 carnivores, 食腐 scavengers",夜行性 nocturnal,3,Sb
Crocidura vorax,10.6,72,46,12.5,,75,29,4,3.5,437,"食虫 insectivores, 食肉 carnivores, 食腐 scavengers",夜行性 nocturnal,1,
Crocidura wuchihensis,4.75,60,38.5,11.5,7.5,182,28,3.1,3.1,476,"食虫 insectivores, 食肉 carnivores, 食腐 scavengers",夜行性 nocturnal,1,
Tupaia belangeri,147.5,177.5,170,40.5,16,122,46,2~4,1~2,"1,333","食虫 insectivores, 食草或者树叶 herbivores",昼行性 diurnal,3,Wb
Rousettus amplexicaudatus,82.94,110,16,21.5,19,259,101,1,2,"1,315","食果实 frugivores, 食花 nectarivores",夜行性 nocturnal,5,
Rousettus leschenaultii,96.57,107.5,14,21.5,21,322,118,1,2,"1,680","食果实 frugivores, 食花 nectarivores",夜行性 nocturnal,3,Wb
Pteropus dasymallus,463.43,206.5,,47.5,24,551,165,1,1.1,"1,825",食果实 frugivores,夜行性 nocturnal,2,J
Pteropus giganteus,824.85,249,,50.5,39,395,156,1,1,"4,260",食果实 frugivores,夜行性 nocturnal,2,
Cynopterus brachyotis,113,77,10.5,14,15.5,525,105,1,11,1287.664,食肉 carnivores,夜行性 nocturnal,2,Wb
Cynopterus sphinx,37.4,85,9.5,17.5,19.5,313,120,1.1,2,"1,285",食果实 frugivores,夜行性 nocturnal,2,Wc
Sphaerias blanfordi,28.88,85,,11.5,18,430,129,1,1.8,"1,792",食果实 frugivores,夜行性 nocturnal,1,Wa
Eonycteris spelaea,55.15,105,17,20.5,20.5,357,152,1,2,979,食花 nectarivores,夜行性 nocturnal,3,Wa
Macroglossus sobrinus,21.8,79.5,3,14,16.5,220,120,1,2,"1,209","食果实 frugivores, 食花 nectarivores",夜行性 nocturnal,2,
Megaerops ecaudatus,26.29,102,,,,412,129,1,1.8,"1,761","食果实 frugivores, 食花 nectarivores",夜行性 nocturnal,1,
Megaerops niphanae,26.3,96.64,,,,345,128,1,1.9,"1,630","食果实 frugivores, 食花 nectarivores",夜行性 nocturnal,2,
Taphozous melanopogon,25.99,76.5,26,11.5,19.5,374,122,1,1,"2,009","食虫 insectivores, 食果实 frugivores",夜行性 nocturnal,4,Wc
Taphozous theobaldi,36.83,91.5,30,14.5,24.5,342,92,1,1.3,"1,732",食虫 insectivores,夜行性 nocturnal,2,
Megaderma lyra,38.94,82.5,0,17,38,621,151,1~2,1,"1,986","食虫 insectivores, 食肉 carnivores, 食鱼 piscivores",夜行性 nocturnal,6,Wc
Megaderma spasma,38.6,73.99,,,,515,150,1,1,"2,030","食虫 insectivores, 食肉 carnivores, 食鱼 piscivores",夜行性 nocturnal,5,
Rhinolophus affinis,16.25,60.5,27.5,12,18,367,108,1,2,"1,440",食虫 insectivores,夜行性 nocturnal,3,Wd
Rhinolophus ferrumequinum,22.88,67.5,34.5,12,23.5,828,86,1,1,"3,285",食虫 insectivores,夜行性 nocturnal,5,O3(Ug)
Rhinolophus formosae,34.07,90,34.5,16.5,30.5,629,109,1,1,"2,383",食虫 insectivores,夜行性 nocturnal,3,J
Rhinolophus lepidus,5.46,58.13,21.5,9,18,585,103,1,1,"2,144",食虫 insectivores,夜行性 nocturnal,3,Wc
Rhinolophus luctus,34.07,77.22,48.5,17,36,623,106,1,1,"2,327",食虫 insectivores,夜行性 nocturnal,4,Wb
Rhinolophus macrotis,6.18,55,22,9.5,22.5,583,99,1,1.1,"2,101",食虫 insectivores,夜行性 nocturnal,2,Wd
Rhinolophus malayanus,6.73,85,43.15,8.25,14.95,582,104,1,1,"2,106",食虫 insectivores,夜行性 nocturnal,3,
Rhinolophus marshalli,5.02,49,,,,580,105,1,1,"2,174",食虫 insectivores,夜行性 nocturnal,5,Wa
Rhinolophus monoceros,,45,21,8,16.5,,,,,,食虫 insectivores,夜行性 nocturnal,2,J
Rhinolophus osgoodi,12.39,45,19,8.5,16,639,102,1,1,"2,338",食虫 insectivores,夜行性 nocturnal,1,
Rhinolophus pearsonii,11.55,47,22.5,12.5,26,607,104,1.1,1,"2,243",食虫 insectivores,夜行性 nocturnal,3,Wd
Rhinolophus pusillus,7.62,64.5,19.5,7,16.5,555,103,1,1.1,"1,989",食虫 insectivores,夜行性 nocturnal,2,Sc
Rhinolophus rex,32.62,40,35,9,32,,103,1,1,"2,262",食虫 insectivores,夜行性 nocturnal,2,Ya
Rhinolophus schnitzleri,10.91,64.7,27.6,9.95,31.3,631,103,1,1,"2,314",食虫 insectivores,夜行性 nocturnal,1,
Rhinolophus siamensis,7.36,60.05,14,8.5,20.5,596,99,1,1.1,"2,150",食虫 insectivores,夜行性 nocturnal,2,
Rhinolophus sinicus,10.26,48,25.5,8.5,17.5,451,124,1,1,"1,314",食虫 insectivores,夜行性 nocturnal,2,
Rhinolophus stheno,7.92,62.58,,,,605,106,1,1,"2,172",食虫 insectivores,夜行性 nocturnal,2,Wa
Rhinolophus subbadius,5.86,36,17.5,7.5,16,595,105,1.1,1,"2,269",食虫 insectivores,夜行性 nocturnal,2,
Rhinolophus thomasi,8.26,49,23,9,18,568,104,1,1,"2,030",食虫 insectivores,夜行性 nocturnal,2,Wb
Rhinolophus xinanzhongguoensis,24,60.5,32.5,,21.5,,,,,,食虫 insectivores,夜行性 nocturnal,1,
Rhinolophus yunanensis,19.33,64,22,13,27.5,625,102,1,1,"2,337",食虫 insectivores,夜行性 nocturnal,3,Hc
Hipposideros armiger,49.99,95,59,15,30.5,601,137,1~2,1,"2,273",食虫 insectivores,夜行性 nocturnal,3,Wd
Hipposideros cineraceus,4.1,39.7,23.85,,15.15,576,90,1,1.1,"2,091",食虫 insectivores,夜行性 nocturnal,2,
Hipposideros fulvus,8.5,45,29.5,8,22.5,551,102,1,1,"1,834",食虫 insectivores,夜行性 nocturnal,2,
Hipposideros larvatus,19.95,76,40.5,12.5,24.5,608,104,1,1,"2,247",食虫 insectivores,夜行性 nocturnal,3,Wb
Hipposideros lylei,62.19,81.45,50.8,18.5,30,603,141,1,1,"2,254",食虫 insectivores,夜行性 nocturnal,3,
Hipposideros pomona,9.25,44,31.5,7.5,21.5,588,42,1,1.2,"1,979",食虫 insectivores,夜行性 nocturnal,3,
Hipposideros pratti,84.38,100.5,56,18.5,35.5,628,145,1,1,"2,358",食虫 insectivores,夜行性 nocturnal,1,Wd
Aselliscus stoliczkanus,6.09,45,35,9.5,12,619,98,1,1,"2,296",食虫 insectivores,夜行性 nocturnal,2,Sc
Coelops frithii,7.52,44,0,7,13,616,107,1,1,"2,227",食虫 insectivores,夜行性 nocturnal,2,Wb
Tadarida insignis,35,89,54,12.5,32.5,365,46,1,1.7,"1,736",食虫 insectivores,夜行性 nocturnal,6,
Tadarida latouchei,35,69.5,43.5,12.5,23.5,365,46,1,1.7,"1,723",食虫 insectivores,夜行性 nocturnal,2,
Chaerephon plicata/C. plicatus,21.83,70,35,10.5,18.5,,89,1,2,"1,267",食虫 insectivores,夜行性 nocturnal,4,O3(Ub)
Eudiscopus denticulus,5.5,40.65,40,6.75,10.5,388,83,1.6,1,"1,948",食虫 insectivores,夜行性 nocturnal,1,
Myotis altarium,11,57.5,49,11.5,23,431,75,1.1,1,"2,049",食虫 insectivores,夜行性 nocturnal,1,Si
Myotis annectans,9.75,50,43.5,10,15,410,73,1,1,"2,142",食虫 insectivores,夜行性 nocturnal,1,Wa
Myotis badius,5,42,37,6.7,15,,,,,,食虫 insectivores,夜行性 nocturnal,1,
Myotis blythii,24.26,77,67,14,20.5,421,69,1,1,"2,555",食虫 insectivores,夜行性 nocturnal,4,O3(Ug)
Myotis bombinus,7.5,46.5,41.5,10,16.5,392,69,1,1,"2,591",食虫 insectivores,夜行性 nocturnal,2,M
Myotis brandtii,7,45,38,8,14.5,653,159,1.1,1,"3,321",食虫 insectivores,夜行性 nocturnal,7,
Myotis chinensis,28.55,94,55.5,17,21.5,476,69,1,1,"2,346",食虫 insectivores,夜行性 nocturnal,3,
Myotis dasycneme,15,62,48.5,11.5,17.5,374,68,1,1,"1,825",食虫 insectivores,夜行性 nocturnal,5,
Myotis davidii,5.3,42.5,36.5,8,13.5,411,63,1,1,"2,633",食虫 insectivores,夜行性 nocturnal,2,
