scientific_name,body_mass,body_length,tail_length,Hind_foot_length_mm,Ear_length_mm,Maturity_d.x,Gestation_length_d,Litter_size_n,Litters_per_year_n,Generation_length_d.x,Diet,Activity_cycle,Habitat_.breadth,Distribution.type
Dremomys pyrrhomerus,200.32,202.5,151,52.5,23,326,45,3,1.7,"1,155","食虫 insectivores, 食果实 frugivores, 食种子 granivores",昼行性 diurnal,2,Sc
Dremomys rufigenis,272.5,199,155,49,24,331,45,3,1.7,"1,171","食虫 insectivores, 食果实 frugivores, 食种子 granivores",昼行性 diurnal,3,Wd
Ratufa bicolor,1800,395,455,87.5,34,"1,078",28~35,1~3,2,"2,327",杂食 omnivores,昼行性 diurnal,1,Wa
Menetes berdmorei,195,186,150,43.5,20,338,51,2.1,1.6,"1,210","食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",昼行性 diurnal,4,Wa
Sciurotamias davidianus,433.51,220,162.5,52,24,264,53,2.5,2,"1,089","食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",昼行性 diurnal,2,E
Sciurotamias forresti/Rupestes forresti,433.51,222,155,50.5,26,,52,2.2,1.6,,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",昼行性 diurnal,3,Hc
Tamias sibiricus,90,142.5,110,34,16.5,352,35,4.8,1.1,"1,312","食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",昼行性 diurnal,2,Ub
Spermophilus alashanicus,208,200,65.5,35,9,417,30,4.8,1,"1,096","食虫 insectivores, 食种子 granivores, 食草或者树叶 herbivores",昼行性 diurnal,4,
Spermophilus brevicauda,289.5,187.5,40.5,33.5,7,314,27,6.8,1,996,"食虫 insectivores, 食种子 granivores, 食草或者树叶 herbivores",昼行性 diurnal,2,
Spermophilus dauricus,209,216.5,57.5,34.5,7.5,478,30,5.2,1,"1,244","食虫 insectivores, 食种子 granivores, 食草或者树叶 herbivores",昼行性 diurnal,1,Dm
Spermophilus erythrogenys,228.5,302.25,43.86,,,314,28,6.2,1.1,985,"食虫 insectivores, 食种子 granivores, 食草或者树叶 herbivores",昼行性 diurnal,1,Dc
Spermophilus pallidicauda,228.5,215.5,44,38.5,7,314,28,6.2,1.1,981,"食虫 insectivores, 食种子 granivores, 食草或者树叶 herbivores",昼行性 diurnal,1,
Spermophilus relictus,347.5,220,67.5,37.5,,314,27,5.7,1.3,"1,008","食虫 insectivores, 食种子 granivores, 食草或者树叶 herbivores",昼行性 diurnal,1,D
Spermophilus undulatus,415,262.5,120,47.5,10.5,,30,8~10,1.1,,"食虫 insectivores, 食种子 granivores, 食草或者树叶 herbivores",昼行性 diurnal,2,M
Marmota baibacina,5375,555,142,86.5,26,822,40,5.4,1,"2,036","食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",昼行性 diurnal,2,Dp
Marmota caudata,4350,498,230,77.5,24,909,31,4.7,1,"2,087","食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",昼行性 diurnal,5,Pe
Marmota himalayana,6607.5,572.5,137.5,88,26.5,"1,169",41,2~11,1,"1,838","食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",昼行性 diurnal,6,Pa
Marmota sibirica,"8,000.00",427.5,116.5,77,,828,41,4~6,1,"2,190","食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",昼行性 diurnal,3,
Belomys pearsonii,217,210,130,39,35.5,327,47,2.3,1.7,"1,263","食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,Sd
Priapomys leonardi,177,202,,,,,,,,,"食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",,1,
Trogopterus xanthipes,744.94,250,265,58,30,669,78~89,1~4,1.6,"1,648","食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,2,Hm
Petaurista albiventer,,478,505,81.5,46,,,,,,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,Sc
Petaurista alborufus,"1,611.00",465,522.5,84,53,743,60,1~2,2,"2,557","食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,3,Wd
Petaurista caniceps,,335,380,64,47.5,,,1~2,,,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,Hm
Petaurista hainana,1829.5,410,490,73.5,39,,,1,2,,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,J
Petaurista magnificus,"1,780.00",389.5,447.5,75,42,685,64,1,1.7,"2,125","食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,Ha
Petaurista marica,,362.5,365,62,45,,,,,,"食虫 insectivores, 食果实 frugivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,
Petaurista mishmiensis,695.03,497.5,585,,,818,,1.2,2,98,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,
Petaurista punctatus,,335.5,376,63.5,44.5,,,,,,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,
Petaurista petaurista,2048,459,502.5,81.5,271,697,45,2,1.8,"2,257","食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,Wd
Petaurista philippensis,"1,431.92",510,620.5,77.5,46,728,45,1~2,1.7,"2,354","食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,2,Wc
Petaurista sybilla,"1,224.00",398.02,,,,623,63,1,1.7,"1,950","食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,Hc
Petaurista xanthotis,950,377.5,322,72.5,46.5,653,74,1.3,2,"2,299","食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,Hc
Aeretes melanopterus,246.43,315,318.5,55,30.5,339,48,2.4,1.7,"1,288",Herbivore,夜行性 nocturnal,1,Hc
Eupetaurus cinereus,1960,515,425,86,32,729,69,1.4,1.6,"2,390",食草或者树叶 herbivores,夜行性 nocturnal,4,He
Eupetaurus nivamons,1661.5,427.5,427.5,90.5,47.25,,,,,,食草或者树叶 herbivores,,4,
Eupetaurus tibetensis,,468,350,,,,,,,,,,1,
Biswamoyopterus biswasi,"1,613.30",405,605,78,46,687,68,1.3,1.7,"2,157","食果实 frugivores, 食花 nectarivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,Hc
Biswamoyopterus gaoligongensis,"1,370.00",440,520,75,47,,,,,,"食果实 frugivores, 食花 nectarivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,
Pteromys volans,102.5,177,111,34,15.5,342,30,1~4,1.5,"1,507","食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,Uc
Hylopetes alboniger,240,211,199.5,40.5,31.5,337,45,2~3,1.7,"1,321","食虫 insectivores, 食肉 carnivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,2,Wc
Hylopetes phayrei,226.99,158.5,143.5,33.5,24,333,45,2.4,1.6,"1,310","食虫 insectivores, 食肉 carnivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,2,J
Castor fiber,23.5,80,257.5,165,37.5,"1,035",107,3.1,1,"3,294",食草或者树叶 herbivores,夜行性 nocturnal,4,U
Cansumys canus,90.5,135,94,20.5,19,101,22,4.2,3.2,587,"食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,
Cricetus cricetus,357.5,250,44,32,27,86,20,3~15,2,467,"食虫 insectivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,3,Ue
Cricetulus alticola,35,89,39,16.5,14.5,,,5~10,,589.3882991,"食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,3,Pa
Cricetulus barabensis,27.5,94,20.5,16,15.5,84,21,6~7,3.3,549,"食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,3,Xg
Cricetulus kamensis,30,96,57.5,17.5,17,101,24,5~10,2.9,603,"食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,2,Pa
Cricetulus longicaudatus,32.5,107.5,41.5,18,17.5,102,22,6~7,3,581,"食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,2,D
Cricetulus migratorius,44.5,102.5,31,16.5,18,145,13,4.7,2,596,"食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,5,D
Cricetulus sokolovi,30,95.5,25,15.5,16,,20,4~9,2~3,542,"食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,2,
Tscherskia triton,166.5,181,87.5,22.5,20.5,98,23,8~10,2~3,581,食种子 granivores,夜行性 nocturnal,2,Xa
Allocricetulus curtatus,50,107.5,21.5,17,14,107,13,4~9,2~3,540,"食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,
Allocricetulus eversmanni,48,104,22.5,16.5,14,103,20~22,4~6,2~3,541,"食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,3,D
Phodopus campbelli,28.75,90.5,9,15,14,46,20,4~8,3~4,249,"食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,2,
Phodopus roborovskii,15,81.5,8.5,10.5,11.5,21,21,3~9,3.5,551,"食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,2,Dn
Ellobius talpinus,59,113,14,21.5,0,92,26,3~7,6~7,626,食草或者树叶 herbivores,夜行性 nocturnal,2,Dc
Myopus schisticolor ,26.4,87.5,14.5,16.5,12.5,25,23,4~6,2,149,"食虫 insectivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,Uc
Myodes centralis,21.15,98.5,47,18,14,71,21,4.3,3.5,525,"食虫 insectivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,
Myodes frater,32,105.5,52.5,,,,,4~8,3,,"食虫 insectivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,D
Craseomys rufocanus,25,111,31,18.5,17,30~60,18~19,4~7,4,417,"食虫 insectivores, 食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,6,Uc
Myodes rutilus,32.25,104,26,19,16.5,120,17~20,4~9,2~3,433.3599222,"食虫 insectivores, 食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,2,C
Eothenomys cachinus,19.59,110,46,,,88,26,1.8,3.5,452,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,1,He
Eothenomys chinensis,45.3,117.5,69.5,21.5,13.5,86,26,3.4,3.2,528,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,2,Hc
Eothenomys colurnus,,100.36,,,,,,,,,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,4,Hc
Eothenomys custos,30.8,93,47,18.25,13,68,22,4.2,3.1,426,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,5,Hc
Eothenomys eleusis,,98,52.5,,,,,1~2,,,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,1,Hc
Eothenomys hintoni,47.5,92.5,55,,,,,,,,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,2,Sv
Eothenomys melanogaster,19.59,97.5,31.5,16,11,93,26,2~4,3.3,494,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,4,Sv
Eothenomys miletus,19.59,115,45,19.5,13.5,88,25,2~3,3.5,445,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,1,Hc
Eothenomys olitor,22,86,34,15.5,10,96,26,3.2,3.1,517,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,1,Hc
Eothenomys proditor,42.5,110,30,18.5,12.5,84,25,3.7,3.5,471,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,3,Hc
Eothenomys fidelis,,104.9,41.8,17.5,12.3,,,,,,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,5,Hc
Eothenomys jinyangensis,22,94,53,18,16,,,,,,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,2,Sv
Eothenomys luojishanensis,30,108,55,18,13,,,,,,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,2,Sv
Eothenomys meiguensis,24,91,45,17,13,,,,,,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,1,Sv
Eothenomys shimianensis,24,95,37,17,12,,,,,,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,2,Sv
Eothenomys tarquinius,47.5,104.5,71.5,,,,,,,,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,2,
Eothenomys wardi,46.26,104,62.5,19.5,14.5,75,23,4.1,3.4,463,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,4,
Caryomys eva,22.5,91.5,53,16.5,11.75,86,24,3.4,3.2,441,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,1,Hc
Caryomys inez,23.5,90.5,37,15.5,11,97,27,2~6,3.3,545,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,1,Bc
Alticola albicauda,,99,42.3,18.3,15.7,,,,,,食草或者树叶 herbivores,全天活动 cathemeral,3,
Alticola argentatus,32.5,104.5,31.5,19,14.5,66,23,4~5,3,442,食草或者树叶 herbivores,昼行性 diurnal,4,
Alticola barakshin,35.5,112.5,22,19,17,86,26,3.6,4.6,504,食草或者树叶 herbivores,夜行性 nocturnal,2,
Alticola macrotis,38,112.5,25,16,14.5,96,29,4~7,4.4,536,食草或者树叶 herbivores,全天活动 cathemeral,2,
Alticola roylei,31.5,120.5,37,19,13.5,71,24,4~9,1~2,442,食草或者树叶 herbivores,昼行性 diurnal,5,
Alticola semicanus,36,122,29.5,21,18,70,24,4.9,1~2,461,食草或者树叶 herbivores,夜行性 nocturnal,2,
Alticola stoliczkanus,30.14,110.5,19,21.5,,70,23,3~11,5,415,食草或者树叶 herbivores,夜行性 nocturnal,5,P
Alticola strelzowi,43.5,119.5,40,20.5,20.25,56,21,7~11,2.2,374,食草或者树叶 herbivores,全天活动 cathemeral,1,Di
Lagurus lagurus,26.75,100,13,15,5,35~45,20,4~8,5,441,食草或者树叶 herbivores,全天活动 cathemeral,3,Dc
Arvicola amphibius,200,165,100,30,14.5,48,21,4~6,2~4,656,"食果实 frugivores, 食草或者树叶 herbivores",全天活动 cathemeral,5,U
Neodon clarkei,46.26,124,64.5,20,13.5,,,,,,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,2,He
Neodon forresti,85.9,117,39.5,18.5,14,99,28,3.5,3.2,577,"食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,3,
Neodon fuscus,30.5,94,26.5,20,16.5,,,,,,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,1,P
Neodon irene,46.26,94,31,17,12,77,24,4~5,3.4,483,"食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,2,Pf
Neodon linzhiensis,37,551.44,31.5,18,13.5,614,71,2.3,1.9,"2,531","食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,
Neodon leucurus,50.71,113,30.5,17.5,11.5,,,1.9,,,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,1,
Neodon medogensis,33.85,99.5,49,19,13.5,,,,,,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,3,
Neodon nyalamensis,31,106.5,44,18.5,12,,,,,,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,3,
Neodon sikimensis,45.26,108,41,19.5,13.5,86,27,2~3,3.3,523,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,3,Ha
Alexandromys fortis,63,129.5,57.5,23.5,14,132,20,5~6,6,,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,1,Ee
Alexandromys kikuchii,46.3,107.5,76.5,22.5,13.5,,,2,,,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,2,J
Alexandromys limnophilus,33.1,103,38,20.5,13.5,37,22,5.8,3.4,,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,5,De
Alexandromys maximowiczii,38.15,135.5,48.5,20,14.3,,,4~12,,,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,2,X
Alexandromys oeconomus,33.1,112,40.5,17,14,45,22,2~11,3~4,220,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,5,Ua
Microtus arvalis,25.4,117,36,16.5,14.5,28,19~21,1~13,5~7,448,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,4,Ub
Microtus agrestis,25.1,117.5,34.5,18.5,13,38,21,4.4,2~4,466,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,5,Cb
Microtus /Lasiopodomys gregalis,47.5,105.5,26.5,16.5,10.5,56,22,7~9,2.9,398,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,4,U
Microtus ilaeus,25.4,113.5,40,18.5,12,47,21,2~8,3~4,431,"食种子 granivores, 食草或者树叶 herbivores",晨昏 crepuscular,3,Dc
Microtus juldaschi (Neodon juldaschi),37.77,133.35,34,16,12.5,70,23,3.5,4.1,486,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,3,Ha
Microtus/Alexandromys mongolicus,25.4,125.5,33,18,13.5,47,21,6~9,4~5,433,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,2,Xd
Microtus socialis,48,96,22.5,17.5,,33,20,2~9,2~3,354,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,1,Dc
Volemys millicens,34,89,49.5,18.25,14,88,26,3.5,3.3,519,"食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,He
Volemys musseri,51.57320536,109.5,58.5,20.5,16.5,,,,,589.3882991,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,3,He
Lasiopodomys brandtii,69.5,120,26,21,10.5,61,22,6~8,4~5,436,食草或者树叶 herbivores,昼行性 diurnal,3,Dn
Lasiopodomys mandarinus,46.26,105,23.5,16.5,9.5,92,28,2~4,3.3,540,食草或者树叶 herbivores,昼行性 diurnal,1,X
Eolagurus luteus,59.75,150,17,20,7,25,20~21,6~9,3.5,332,"食种子 granivores, 食草或者树叶 herbivores",昼行性 diurnal,1,Dc
Eolagurus przewalskii,46.26,127.5,13,20.5,7,80,25,3~8,3.3,504,"食种子 granivores, 食草或者树叶 herbivores",昼行性 diurnal,2,Dd
Proedromys bedfordi,46.26,87.5,14.5,16.5,12.5,93,26,3.4,3.2,525,"食种子 granivores, 食草或者树叶 herbivores",全天活动 cathemeral,1,Pc
Proedromys liangshanensis,60,116.5,71.5,22,16,122,31,3.1,3.4,663,"食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,2,
Vandeleuria oleracea,10,75.5,101,17.5,13.5,92,26,3~6,3.5,485,"食果实 frugivores, 食草或者树叶 herbivores",夜行性 nocturnal,4,Wa
Hapalomys delacouri,70,129.5,150,23,14.5,103,28,3.1,3.3,601,"食果实 frugivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,Wa
Hapalomys longicaudatus,70,168,170,,,103,28,3,3.3,629,"食果实 frugivores, 食草或者树叶 herbivores",夜行性 nocturnal,1,Wa
Chiropodomys gliroides,26.5,91,119.5,20,18,101,19~21,1~4,3.7,467,食草或者树叶 herbivores,夜行性 nocturnal,1,Wa
Chiromyscus chiropus,77.8,149,216.5,28,19.5,97,25,3.5,3.3,557,Omnivore,夜行性 nocturnal,2,
Chiromyscus langbianis,78,146.5,176.5,31,20.5,98,25,3.7,3.4,591,,夜行性 nocturnal,1,
Vernaya fulva,24.85,66.5,126.5,18.25,17,99,26,3.5,3.3,564,Omnivore,夜行性 nocturnal,1,Hc
Micromys erythrotis,6.54,55.75,61.75,14,9.63,,,,,,"食虫 insectivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,2,
Micromys minutus,6,61.5,66.5,15,10,37,20,5~9,2.6,503,"食虫 insectivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,6,Uh
Apodemus agrarius,33.5,96.5,93.5,20.5,13.5,76,21,5~6,3.3,504,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",昼行性 diurnal,4,Ub
Apodemus chevrieri,21.2,99,94,23.5,15,76,21,5.7,3.3,502,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",昼行性 diurnal,3,Sb
Apodemus draco,23.4,96.5,91,21.5,16,68,23,5.2,3.8,596,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",昼行性 diurnal,3,Sd
Apodemus ilex,26,89,89.5,22,17,,,,,,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",昼行性 diurnal,3,
Apodemus latronum,29.4,101.5,106,24.25,20.5,52,26,5.2,2.8,576,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,4,Hc
Apodemus nigrus,26.5,94.5,100.5,23.5,17.5,,,,,,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",昼行性 diurnal,1,
Apodemus pallipes,23.39,91,89.5,22,17,68,23,5.2,3.8,628,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",昼行性 diurnal,1,Ha
Apodemus peninsulae,34,99,89,22,15.5,52,26,4.7,2.8,570,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",昼行性 diurnal,5,X
Apodemus semotus,28.75,91.25,109.5,24.25,16,68,23,2~6,3.8,591,"食虫 insectivores, 食果实 frugivores, 食种子 granivores, 食草或者树叶 herbivores",夜行性 nocturnal,3,J
